survey_id,goal_setting,strategic_planning,selfevaluation,task_strategies,elaboration,help_seeking
a6594f600c3ae48705c1b3b0263309ef,3.75,3.5,4,4,3.66666666666667,4
075242888a3c65a93b07fd8513255459,3.25,3,3,3,2,3.66666666666667
385b9f16a27ef7d11672c3db07c21aea,3,2,2.33333333333333,2,2,2.66666666666667
9cd4f8b6db404f994967a2b8d110f560,2,3,1.66666666666667,1,1.66666666666667,4
0a76f7fab3d65ac796c529243c147763,2,2.25,1.66666666666667,2.66666666666667,1.66666666666667,2.66666666666667
676ec40bf9999cc667be950231f91fdc,2.75,1.75,2.33333333333333,1.5,1.66666666666667,2.33333333333333
0c842d64e0f8472c7eae93628f7148d3,3.5,1.75,1.33333333333333,1.66666666666667,1.33333333333333,3.33333333333333
dabd76875886d5ccfb8c4349bbec9db1,0.5,2.25,2.66666666666667,2,3.66666666666667,1.66666666666667
764b72cfeb1d0ac57402f2363e65461a,2,3.25,3.33333333333333,2.16666666666667,2.33333333333333,1.66666666666667
4e3d88d4799a021fd6e31517ebbfdc28,2.5,0.75,0.666666666666667,1.5,0,0
24dcee893d1ddf01d766750b4a9cf219,2.5,3.5,4,2.16666666666667,2,3.33333333333333
085a87d5d703de9e75dfa24fba45d925,2.75,3,2.33333333333333,2.5,2.66666666666667,3.33333333333333
140a081c16323890e8c1f09c4e0e8199,1.75,2.25,3,3.33333333333333,3.33333333333333,2.33333333333333
ec61a56cb3dc24c8f7eb725e09c28275,3,1.75,3.33333333333333,2.16666666666667,2.66666666666667,4
a93d2936ef205944329d319e6a23ccfa,2.75,3,2.66666666666667,2.83333333333333,3.33333333333333,2.33333333333333
b438ea73ae48ff0370cc3e092eaadfcf,2.5,1.25,1.66666666666667,2,2.33333333333333,2.66666666666667
5c554ed7993fb02ab49ff83ae32988e0,2.75,2.5,2,2.33333333333333,2.33333333333333,4
159b44395805a7d5132d6bf36060172e,1.5,1.75,3.66666666666667,2.16666666666667,1.66666666666667,2.33333333333333
6b497dffa5609cc8f899bc5123d27c17,3,3,2.66666666666667,2.83333333333333,2.33333333333333,3
ff13eb1ce567a98ff5fe1ac595c33daf,1.5,1.75,1,1.5,2.33333333333333,1
c1da640aa1d70840e757d8223e47049c,0.75,1.75,2.66666666666667,1.66666666666667,2.33333333333333,3.66666666666667
4600578c2325b9120c15cb9e28423755,3.5,2.75,3.33333333333333,2.5,2.66666666666667,2.66666666666667
f997b5309dd56f45e57204b015189b69,2.5,2,3.33333333333333,2.66666666666667,3.66666666666667,3.66666666666667
4baf077ccbd0b36564a6ee8947b6782a,3,2.75,2,3.16666666666667,2,2.66666666666667
e6cd88d48dd8af3162a33828ca815bec,2.75,3,2.33333333333333,3,2.33333333333333,3
7bf84ef9f89a0ce2dfac375a20903546,2.75,2.75,2.33333333333333,2.5,2.66666666666667,2.66666666666667
3a63e2f6e9f136cb9d8f744323f44493,2,2.75,3,2.16666666666667,2.33333333333333,3
56d53892c5d55420af2be9bd44a370d1,3,3.25,2.33333333333333,2.83333333333333,2.33333333333333,3.66666666666667
6ee06ab23c1c8baec32526bc50590d87,1.5,2.75,2.66666666666667,2.16666666666667,1.66666666666667,0
